"Date Printed: Tuesday, August 20, 2024 8:01:25 AM",,,,,,,,,,,,,,,
"Title: ""Estimated HIV incidence | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | 2022 | Alabama | Alaska | American Samoa | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Guam | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Northern Mariana Islands | Ohio | Oklahoma | Oregon | Palau | Pennsylvania | Puerto Rico | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | U.S. Virgin Islands | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | Ages 13 years and older | All transmission categories""""",,,,,,,,,,,,,,,
Footnote(s): Data for 2023 and 2024 are considered preliminary (subject to a 12-month reporting delay). Inclusion of preliminary data in trend assessments is discouraged. Numbers less than 12͵ and rates and percentages based on these numbers͵ should be interpreted with caution. HIV diagnoses and PrEP data for the year 2020͵ which coincided with the onset of the COVID-19 pandemic͵ should be interpreted with caution due to the impact of the pandemic on access to HIV testing͵ PrEP prescriptions͵ and care-related services. Data by transmission category presented based on sex assigned at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.,,,,,,,,,,,,,,,
   Estimates with an RSE>50% are statistically unreliable and reported as data not available.,,,,,,,,,,,,,,,
   * Estimates with an RSE of 30%–50% should be used with caution because they meet a lower standard of reliability.,,,,,,,,,,,,,,,
   The 'Sex' column is used for either sex assigned at birth or gender identity.,,,,,,,,,,,,,,,
   NA - Not applicable.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Cases LCI,Cases UCI,RSE,Rate per 100000,Rate LCI,Rate UCI,Population
Estimated HIV incidence,2010,Texas,48,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"4,300","4,000","4,500",3,21,19.8,22.3,"20,236,102"
Estimated HIV incidence,2010,Tennessee,47,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,750,640,850,7.1,14.2,12.2,16.1,"5,282,878"
Estimated HIV incidence,2010,South Dakota,46,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,30,10,50,36.2*,4.7,1.4,8.1,"668,066"
Estimated HIV incidence,2010,South Carolina,45,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,670,570,770,7.2,17.4,14.9,19.8,"3,857,597"
Estimated HIV incidence,2010,Rhode Island,44,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,90,50,120,20.4,9.8,5.9,13.8,"898,553"
Estimated HIV incidence,2010,Pennsylvania,42,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"1,200","1,000","1,300",5.8,10.8,9.6,12,"10,760,184"
Estimated HIV incidence,2010,Oregon,41,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,200,140,250,13.5,6.1,4.5,7.7,"3,217,519"
Estimated HIV incidence,2010,Oklahoma,40,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,280,220,340,11,9.1,7.1,11.1,"3,080,156"
Estimated HIV incidence,2010,Ohio,39,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,990,870,"1,100",6.1,10.3,9.1,11.6,"9,610,913"
Estimated HIV incidence,2010,North Dakota,38,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,30,10,50,39.5*,4.9,1.1,8.6,"565,858"
Estimated HIV incidence,2010,North Carolina,37,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"1,500","1,300","1,600",5.3,18.3,16.4,20.2,"7,923,124"
Estimated HIV incidence,2010,New York,36,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"3,300","3,100","3,500",3.3,20.3,19,21.6,"16,361,039"
Estimated HIV incidence,2010,New Mexico,35,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,130,90,170,16.2,7.6,5.2,10,"1,690,233"
Estimated HIV incidence,2010,New Jersey,34,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"1,100",940,"1,200",7.1,14.8,12.8,16.9,"7,345,171"
Estimated HIV incidence,2010,New Hampshire,33,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,30,10,50,32.9*,3,1,4.9,"1,120,233"
Estimated HIV incidence,2010,Nevada,32,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,370,300,440,9.4,16.7,13.6,19.8,"2,223,318"
Estimated HIV incidence,2010,Nebraska,31,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,90,50,120,19.7,5.8,3.6,8,"1,494,058"
Estimated HIV incidence,2010,Montana,30,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,20,0,30,44.3*,2.1,0.3,3.9,"831,036"
Estimated HIV incidence,2010,Missouri,29,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,520,430,610,8.5,10.4,8.7,12.2,"4,977,183"
Estimated HIV incidence,2010,Mississippi,28,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,420,340,500,9.3,17.2,14.1,20.4,"2,429,222"
Estimated HIV incidence,2010,Minnesota,27,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,310,250,380,10.4,7.1,5.7,8.6,"4,388,632"
Estimated HIV incidence,2010,Michigan,26,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,700,610,800,7,8.5,7.4,9.7,"8,247,464"
Estimated HIV incidence,2010,Massachusetts,25,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,660,560,760,7.9,11.9,10,13.7,"5,573,251"
Estimated HIV incidence,2010,Maryland,24,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"1,400","1,200","1,500",5.7,28.5,25.3,31.7,"4,830,249"
Estimated HIV incidence,2010,Maine,23,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,60,20,100,30.8*,5.4,2.1,8.7,"1,137,681"
Estimated HIV incidence,2010,Louisiana,22,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,960,840,"1,100",6.1,25.6,22.5,28.7,"3,737,525"
Estimated HIV incidence,2010,Kentucky,21,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,350,280,420,9.7,9.7,7.9,11.6,"3,611,085"
Estimated HIV incidence,2010,Kansas,20,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,130,80,170,16.6,5.4,3.6,7.1,"2,329,162"
Estimated HIV incidence,2010,Iowa,19,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,90,60,120,18.4,3.5,2.3,4.8,"2,526,720"
Estimated HIV incidence,2010,Indiana,18,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,460,380,540,8.4,8.6,7.2,10,"5,340,793"
Estimated HIV incidence,2010,Illinois,17,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"1,500","1,400","1,700",5.1,14.3,12.9,15.7,"10,623,649"
Estimated HIV incidence,2010,Idaho,16,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,70,20,110,37.6*,5.2,1.4,9,"1,256,920"
Estimated HIV incidence,2010,Hawaii,15,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,70,40,110,24.4,6.4,3.3,9.5,"1,144,121"
Estimated HIV incidence,2010,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"2,500","2,300","2,700",3.8,31.9,29.5,34.3,"7,913,103"
Estimated HIV incidence,2010,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"4,400","4,100","4,700",3.3,27.5,25.7,29.3,"16,018,853"
Estimated HIV incidence,2010,District of Columbia,11,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,560,470,650,8.2,105,88.2,121.8,"530,993"
Estimated HIV incidence,2010,Delaware,10,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,110,70,150,18.8,14.6,9.2,20.1,"752,997"
Estimated HIV incidence,2010,Connecticut,9,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,300,230,360,11,9.9,7.8,12.1,"3,013,799"
Estimated HIV incidence,2010,Colorado,8,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,390,320,460,9.5,9.4,7.6,11.1,"4,151,588"
Estimated HIV incidence,2010,California,6,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"5,000","4,800","5,300",2.7,16.3,15.4,17.2,"30,752,337"
Estimated HIV incidence,2010,Arkansas,5,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,240,180,300,12.4,10.1,7.6,12.5,"2,407,981"
Estimated HIV incidence,2010,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,630,530,730,7.9,12.1,10.2,13.9,"5,229,397"
Estimated HIV incidence,2010,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,30,10,50,34.8*,4.9,1.5,8.3,"577,805"
Estimated HIV incidence,2010,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,690,590,790,7.4,17.3,14.8,19.8,"3,980,691"
Estimated HIV incidence,2011,Palau,70,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,NA
Estimated HIV incidence,2011,U.S. Virgin Islands,78,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,NA
Estimated HIV incidence,2011,Puerto Rico,72,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,630,520,750,9.2,20.5,16.8,24.2,"3,082,356"
Estimated HIV incidence,2011,Northern Mariana Islands,69,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,NA
Estimated HIV incidence,2011,Guam,66,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,NA
Estimated HIV incidence,2011,American Samoa,60,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,NA
Estimated HIV incidence,2011,Wyoming,56,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,20,0,30,48.4*,3.5,0.2,6.9,"467,953"
Estimated HIV incidence,2011,Wisconsin,55,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,190,140,240,13.6,4,2.9,5,"4,759,787"
Estimated HIV incidence,2011,West Virginia,54,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,80,40,110,24.7,4.8,2.5,7.1,"1,582,020"
Estimated HIV incidence,2011,Washington,53,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,430,350,510,9.8,7.6,6.1,9,"5,685,208"
Estimated HIV incidence,2011,Virginia,51,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,870,750,990,6.9,12.9,11.1,14.6,"6,764,817"
Estimated HIV incidence,2011,Vermont,50,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,20,0,30,48.9*,2.9,0.1,5.7,"539,532"
Estimated HIV incidence,2011,Utah,49,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,130,90,170,16.5,6,4.1,8,"2,154,498"
Estimated HIV incidence,2011,Texas,48,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"4,300","4,000","4,500",3,20.8,19.6,22,"20,593,698"
Estimated HIV incidence,2011,Tennessee,47,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,820,710,930,7,15.4,13.3,17.5,"5,329,402"
Estimated HIV incidence,2011,South Dakota,46,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,"674,113"
Estimated HIV incidence,2011,South Carolina,45,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,670,570,770,7.6,17.3,14.7,19.9,"3,895,019"
Estimated HIV incidence,2011,Rhode Island,44,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,70,40,110,22.9,8.1,4.5,11.8,"899,920"
Estimated HIV incidence,2011,Pennsylvania,42,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"1,200","1,000","1,300",6.2,10.8,9.5,12.1,"10,803,180"
Estimated HIV incidence,2011,Oregon,41,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,210,150,260,13.6,6.4,4.7,8.1,"3,253,101"
Estimated HIV incidence,2011,Oklahoma,40,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,280,220,350,11.5,9.2,7.1,11.3,"3,105,234"
Estimated HIV incidence,2011,Ohio,39,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"1,000",880,"1,100",6.4,10.4,9.1,11.7,"9,635,177"
Estimated HIV incidence,2011,North Dakota,38,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,30,0,50,41.8*,4.8,0.9,8.7,"574,106"
Estimated HIV incidence,2011,North Carolina,37,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"1,400","1,200","1,500",5.4,17.4,15.6,19.3,"8,006,729"
Estimated HIV incidence,2011,New York,36,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"3,300","3,000","3,500",3.5,19.8,18.4,21.2,"16,459,314"
Estimated HIV incidence,2011,New Mexico,35,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,110,70,150,17.3,6.5,4.3,8.7,"1,705,820"
Estimated HIV incidence,2011,New Jersey,34,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"1,100",950,"1,300",7.4,15,12.9,17.2,"7,380,668"
Estimated HIV incidence,2011,New Hampshire,33,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,50,20,70,29.3,4,1.7,6.4,"1,126,938"
Estimated HIV incidence,2011,Nevada,32,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,390,320,470,9.4,17.6,14.4,20.8,"2,237,545"
Estimated HIV incidence,2011,Nebraska,31,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,80,40,110,23.4,5.1,2.7,7.4,"1,503,567"
Estimated HIV incidence,2011,Montana,30,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,20,0,40,40.3*,2.4,0.5,4.4,"837,310"
Estimated HIV incidence,2011,Missouri,29,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,460,380,530,8.5,9.1,7.6,10.6,"4,997,429"
Estimated HIV incidence,2011,Mississippi,28,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,450,370,540,9.7,18.5,15,22,"2,440,464"
Estimated HIV incidence,2011,Minnesota,27,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,270,210,340,11.7,6.2,4.7,7.6,"4,423,171"
Estimated HIV incidence,2011,Michigan,26,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,740,630,840,7.4,8.9,7.6,10.2,"8,272,746"
Estimated HIV incidence,2011,Massachusetts,25,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,600,500,710,8.5,10.7,8.9,12.5,"5,623,940"
Estimated HIV incidence,2011,Maryland,24,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"1,200","1,100","1,400",6,25.2,22.2,28.1,"4,878,765"
Estimated HIV incidence,2011,Maine,23,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,60,10,100,37.6*,4.8,1.3,8.4,"1,141,114"
Estimated HIV incidence,2011,Louisiana,22,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"1,000",880,"1,100",6.3,26.5,23.3,29.8,"3,767,590"
Estimated HIV incidence,2011,Kentucky,21,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,300,230,370,11.5,8.2,6.4,10.1,"3,633,951"
Estimated HIV incidence,2011,Kansas,20,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,130,90,180,16.8,5.7,3.8,7.6,"2,340,636"
Estimated HIV incidence,2011,Iowa,19,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,110,70,150,18.2,4.2,2.7,5.7,"2,543,696"
Estimated HIV incidence,2011,Indiana,18,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,440,360,520,9.3,8.2,6.7,9.8,"5,372,495"
Estimated HIV incidence,2011,Illinois,17,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"1,400","1,200","1,500",5.4,13,11.6,14.4,"10,668,364"
Estimated HIV incidence,2011,Idaho,16,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,"1,271,028"
Estimated HIV incidence,2011,Hawaii,15,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,60,30,80,26.6,4.8,2.3,7.3,"1,156,156"
Estimated HIV incidence,2011,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"2,400","2,200","2,600",4.4,29.8,27.2,32.4,"8,004,809"
Estimated HIV incidence,2011,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"4,300","4,100","4,600",3.4,26.8,25,28.6,"16,220,325"
Estimated HIV incidence,2011,District of Columbia,11,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,480,390,560,9.3,87.9,71.9,103.9,"542,473"
Estimated HIV incidence,2011,Delaware,10,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,110,70,150,20.3,14.4,8.7,20.2,"760,889"
Estimated HIV incidence,2011,Connecticut,9,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,270,200,330,11.9,8.7,6.7,10.8,"3,030,158"
Estimated HIV incidence,2011,Colorado,8,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,350,280,420,10.2,8.2,6.5,9.8,"4,220,791"
Estimated HIV incidence,2011,California,6,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"4,900","4,600","5,200",2.8,15.7,14.9,16.6,"31,062,135"
Estimated HIV incidence,2011,Arkansas,5,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,270,200,330,11.9,10.9,8.4,13.5,"2,427,114"
Estimated HIV incidence,2011,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,660,560,770,8,12.5,10.5,14.4,"5,304,335"
Estimated HIV incidence,2011,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,30,10,50,37.3*,4.8,1.3,8.4,"584,807"
Estimated HIV incidence,2011,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,620,530,720,7.7,15.6,13.2,17.9,"3,998,191"
Estimated HIV incidence,2012,Palau,70,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,NA
Estimated HIV incidence,2012,U.S. Virgin Islands,78,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,NA
Estimated HIV incidence,2012,Puerto Rico,72,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,590,480,710,9.9,19.4,15.6,23.2,"3,059,973"
Estimated HIV incidence,2012,Northern Mariana Islands,69,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,NA
Estimated HIV incidence,2012,Guam,66,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,NA
Estimated HIV incidence,2012,American Samoa,60,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,NA
Estimated HIV incidence,2012,Wyoming,56,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,"476,196"
Estimated HIV incidence,2012,Wisconsin,55,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,220,160,270,13.6,4.5,3.3,5.7,"4,780,615"
Estimated HIV incidence,2012,West Virginia,54,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,80,40,120,25.5,4.9,2.4,7.4,"1,583,082"
Estimated HIV incidence,2012,Washington,53,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,470,380,570,10.3,8.2,6.6,9.9,"5,751,917"
Estimated HIV incidence,2012,Virginia,51,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,880,750,"1,000",7.7,12.9,10.9,14.8,"6,843,747"
Estimated HIV incidence,2012,Vermont,50,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,"539,941"
Estimated HIV incidence,2012,Utah,49,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,110,70,150,18.9,5.1,3.2,7,"2,191,763"
Estimated HIV incidence,2012,Texas,48,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"4,400","4,100","4,600",3.1,20.8,19.5,22.1,"20,991,957"
Estimated HIV incidence,2012,Tennessee,47,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,830,710,950,7.3,15.4,13.2,17.6,"5,383,978"
Estimated HIV incidence,2012,South Dakota,46,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,30,10,50,35.7*,4.1,1.2,6.9,"682,700"
Estimated HIV incidence,2012,South Carolina,45,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,690,580,800,8,17.5,14.7,20.2,"3,940,783"
Estimated HIV incidence,2012,Rhode Island,44,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,70,40,100,23.4,7.7,4.2,11.2,"902,754"
Estimated HIV incidence,2012,Pennsylvania,42,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"1,100",960,"1,300",6.9,10.2,8.9,11.6,"10,835,024"
Estimated HIV incidence,2012,Oregon,41,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,210,150,270,14.2,6.5,4.7,8.3,"3,283,001"
Estimated HIV incidence,2012,Oklahoma,40,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,320,250,390,11.1,10.1,7.9,12.3,"3,132,477"
Estimated HIV incidence,2012,Ohio,39,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"1,000",860,"1,100",7,10.3,8.9,11.7,"9,657,512"
Estimated HIV incidence,2012,North Dakota,38,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,20,0,40,46.0*,3.7,0.4,7,"586,312"
Estimated HIV incidence,2012,North Carolina,37,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"1,400","1,200","1,500",5.9,17.1,15.1,19,"8,103,398"
Estimated HIV incidence,2012,New York,36,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"3,100","2,900","3,300",3.8,18.7,17.3,20.1,"16,539,894"
Estimated HIV incidence,2012,New Mexico,35,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,120,80,160,17.4,6.8,4.5,9.1,"1,715,690"
