State,Former CDC estimate,Cost-effectiveness threshold approach,100% of HIV infections,90% of HIV infections,"100% to top 90%, 5% to bottom 10%",75% of HIV infections,"100% to top 75%, 5% to bottom 25%"
Idaho,"3,646 (NA-NA)","2,526 (NA-NA)","150,036 (135,429-169,906)","7,265 (3,590-14,618)","14,404 (10,643-21,558)","2,732 (571-3,726)","10,097 (7,743-11,395)"
Illinois,"70,457 (NA-NA)","79,704 (NA-NA)","1,194,941 (1,087,636-1,346,656)","168,219 (105,276-230,153)","219,555 (161,284-282,037)","83,523 (44,380-104,399)","139,094 (101,676-158,927)"
Indiana,"27,230 (NA-NA)","38,028 (NA-NA)","602,035 (545,682-680,321)","60,907 (38,890-79,129)","87,963 (67,879-107,208)","26,308 (12,242-60,708)","55,095 (41,766-89,708)"
Iowa,"7,033 (NA-NA)","7,577 (NA-NA)","274,008 (247,470-310,281)","11,410 (4,546-26,673)","24,540 (18,353-39,347)","2,291 (490-6,786)","15,877 (13,724-20,884)"
Kansas,"7,194 (NA-NA)","8,145 (NA-NA)","259,394 (234,407-293,066)","19,329 (7,593-27,389)","31,332 (20,873-39,283)","5,552 (1,266-8,642)","18,244 (14,862-21,827)"
Kentucky,"17,393 (NA-NA)","25,172 (NA-NA)","399,061 (361,813-451,047)","40,662 (34,046-53,040)","58,581 (50,434-70,411)","27,375 (11,460-39,764)","45,959 (31,187-59,010)"
Louisiana,"16,626 (NA-NA)","53,056 (NA-NA)","418,961 (379,402-474,388)","99,006 (50,520-142,460)","115,004 (66,964-157,246)","41,704 (20,469-63,526)","60,567 (40,684-79,434)"
Maine,"6,856 (NA-NA)","2,629 (NA-NA)","115,522 (104,911-130,833)","4,059 (1,574-6,473)","9,632 (7,239-12,045)","384 (79-1,629)","6,141 (5,383-7,469)"
Maryland,"37,130 (NA-NA)","45,797 (NA-NA)","554,034 (504,293-625,645)","179,630 (116,841-237,186)","198,350 (139,454-254,716)","65,215 (36,939-146,266)","89,656 (63,844-166,717)"
Massachusetts,"52,567 (NA-NA)","27,446 (NA-NA)","650,038 (592,432-732,816)","86,869 (70,504-125,887)","115,028 (98,866-152,168)","62,255 (26,463-82,613)","91,645 (57,077-111,683)"
Michigan,"36,957 (NA-NA)","38,331 (NA-NA)","897,988 (814,803-1,014,626)","67,138 (39,824-122,051)","108,681 (82,883-163,695)","24,295 (7,478-40,014)","67,980 (52,977-85,985)"
Minnesota,"30,682 (NA-NA)","16,050 (NA-NA)","512,776 (466,709-577,331)","47,792 (29,031-65,136)","71,041 (53,617-88,073)","13,353 (3,979-28,105)","38,325 (28,491-52,338)"
Mississippi,"6,701 (NA-NA)","27,338 (NA-NA)","262,673 (237,460-298,307)","92,968 (36,251-126,241)","101,453 (46,642-133,931)","29,766 (12,139-65,047)","41,412 (24,877-76,013)"
Missouri,"28,638 (NA-NA)","31,601 (NA-NA)","550,793 (499,980-622,455)","65,989 (42,390-76,765)","90,229 (68,411-101,853)","27,460 (13,099-37,139)","53,626 (40,504-62,839)"
Montana,"1,985 (NA-NA)",678 (NA-NA),"90,522 (81,717-102,542)","1,884 (766-2,528)","6,316 (5,104-7,073)","189 (42-1,253)","4,705 (4,189-5,798)"
Nebraska,"4,982 (NA-NA)","5,613 (NA-NA)","168,876 (152,507-191,073)","12,574 (4,835-18,590)","20,390 (13,203-26,674)","3,457 (834-4,811)","11,728 (9,428-13,525)"
Nevada,"18,186 (NA-NA)","32,226 (NA-NA)","282,225 (257,420-316,969)","47,690 (38,859-55,389)","59,417 (51,083-67,180)","33,640 (22,096-40,228)","46,070 (34,640-54,131)"
New Hampshire,"6,240 (NA-NA)","1,692 (NA-NA)","120,289 (109,068-135,972)","9,111 (4,323-12,542)","14,670 (10,230-18,316)","2,002 (321-4,314)","7,917 (6,341-10,458)"
New Jersey,"52,247 (NA-NA)","66,741 (NA-NA)","809,883 (737,345-913,393)","139,311 (91,661-180,285)","172,840 (123,945-211,761)","72,543 (36,200-101,922)","109,410 (77,788-138,181)"
New Mexico,"6,088 (NA-NA)","5,753 (NA-NA)","186,193 (168,493-210,538)","20,201 (11,597-23,561)","28,501 (20,277-31,947)","9,194 (6,085-11,249)","18,044 (14,843-20,609)"
New York,"133,788 (NA-NA)","136,549 (NA-NA)","1,863,949 (1,701,930-2,098,942)","415,328 (307,107-576,135)","487,759 (386,629-645,961)","231,437 (138,969-319,450)","313,063 (223,756-402,110)"
North Carolina,"37,207 (NA-NA)","82,627 (NA-NA)","927,402 (841,115-1,049,501)","137,538 (81,231-240,947)","177,031 (124,811-275,422)","54,446 (41,482-104,595)","98,094 (83,420-148,693)"
North Dakota,"1,808 (NA-NA)","2,462 (NA-NA)","68,477 (61,691-77,225)","5,732 (2,833-7,352)","8,869 (6,112-10,648)","1,677 (739-2,767)","5,017 (4,088-6,292)"
Ohio,"54,874 (NA-NA)","52,800 (NA-NA)","1,051,408 (955,150-1,187,869)","121,733 (90,886-159,152)","168,217 (136,053-204,750)","78,463 (27,079-110,580)","127,111 (78,472-160,907)"
Oklahoma,"14,206 (NA-NA)","24,368 (NA-NA)","354,387 (320,921-400,375)","39,624 (31,594-49,254)","55,362 (46,740-65,872)","29,044 (13,543-36,926)","45,311 (30,769-53,228)"
Oregon,"23,478 (NA-NA)","15,477 (NA-NA)","385,606 (351,109-434,357)","38,575 (23,040-49,293)","55,926 (41,087-67,227)","8,831 (2,708-16,562)","27,670 (21,314-37,022)"
Pennsylvania,"65,640 (NA-NA)","59,106 (NA-NA)","1,154,029 (1,048,673-1,303,892)","152,878 (105,289-219,696)","202,935 (152,459-270,012)","72,764 (29,429-131,892)","126,827 (87,219-184,228)"
Rhode Island,"8,559 (NA-NA)","4,166 (NA-NA)","102,933 (94,206-115,582)","11,808 (5,635-14,975)","16,364 (10,483-19,813)","2,802 (1,061-5,822)","7,808 (6,447-11,023)"
South Carolina,"13,610 (NA-NA)","43,917 (NA-NA)","440,571 (398,740-499,924)","84,692 (45,707-157,660)","102,486 (65,744-173,249)","31,083 (15,314-47,809)","51,558 (37,233-67,176)"
South Dakota,"2,699 (NA-NA)","2,576 (NA-NA)","75,158 (67,814-84,995)","5,856 (2,702-7,249)","9,321 (6,433-10,768)","1,476 (152-5,800)","5,160 (3,762-9,526)"
Tennessee,"27,948 (NA-NA)","53,151 (NA-NA)","606,452 (550,470-686,110)","77,713 (54,760-115,267)","104,150 (79,545-142,266)","54,231 (27,284-70,676)","81,842 (56,456-98,126)"
Texas,"135,048 (NA-NA)","298,897 (NA-NA)","2,680,340 (2,434,986-3,017,409)","442,668 (314,429-645,044)","554,552 (420,457-755,196)","288,578 (185,844-355,892)","408,166 (298,807-476,970)"
Utah,"11,351 (NA-NA)","9,414 (NA-NA)","293,954 (266,304-330,703)","20,777 (14,419-36,667)","34,436 (28,268-49,875)","5,880 (1,017-15,429)","20,284 (16,007-29,433)"
Vermont,"2,961 (NA-NA)",316 (NA-NA),"56,137 (50,905-63,418)","2,104 (746-3,230)","4,806 (3,518-5,935)","381 (44-1,996)","3,169 (2,638-4,713)"
Virginia,"39,523 (NA-NA)","50,863 (NA-NA)","784,655 (713,043-884,989)","104,946 (69,583-154,216)","138,932 (105,754-188,078)","48,054 (35,333-61,403)","84,884 (74,810-98,433)"
Washington,"41,547 (NA-NA)","30,205 (NA-NA)","699,973 (637,033-787,223)","66,336 (23,941-91,800)","98,017 (58,932-122,990)","14,104 (4,141-40,498)","48,397 (40,716-74,490)"
West Virginia,"15,325 (NA-NA)","9,199 (NA-NA)","154,881 (139,999-175,607)","15,271 (11,782-18,628)","22,252 (18,198-25,766)","12,246 (9,372-14,545)","19,378 (16,441-21,799)"
Wisconsin,"20,054 (NA-NA)","17,813 (NA-NA)","515,472 (467,016-582,506)","21,614 (14,057-32,879)","46,307 (39,810-58,928)","4,830 (1,325-19,122)","30,363 (26,415-44,675)"
Wyoming,989 (NA-NA),783 (NA-NA),"50,830 (45,807-57,447)","1,175 (1,098-1,428)","3,658 (3,339-4,223)","509 (149-1,114)","3,025 (2,435-3,759)"
